sample_id,source_video,frame_index,face_index,label,sha256,output_path,true_label,fake_probability,selected_threshold,predicted_label,predicted_class,is_correct
1b4698ad4ba25cde,fake_test,0,0,fake,e28af64d3f1d45064e66d2bd3f06cc7e276ce9c62a9d4c895011eb0a6ea0f033,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00000__face_00.jpg,1,0.650536060333252,0.4685651659965515,1,fake,True
9053d64151b8fd16,fake_test,1,0,fake,7a2cb5c938f6c34d69120527d144a934447ca6922852c5210a131b80f35f9240,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00001__face_00.jpg,1,0.6576657295227051,0.4685651659965515,1,fake,True
aa3c804d9b49db4b,fake_test,2,0,fake,2eaa32568a4a48320f89a016cf812245a36094360408596e1dd54fe0bac68b3b,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00002__face_00.jpg,1,0.8392237424850464,0.4685651659965515,1,fake,True
9eb9d9a7aceb76ee,fake_test,3,0,fake,f9680c3df4778764f7a63dab92674ddb5f18e07c797de574afad02972344a4af,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00003__face_00.jpg,1,0.48978349566459656,0.4685651659965515,1,fake,True
a7095af85c52eb3d,fake_test,4,0,fake,91b8b6659f589eafb48bd7e58f4f9f9cf92a79e1a2297b264ddafa556f5143c9,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00004__face_00.jpg,1,0.6071366667747498,0.4685651659965515,1,fake,True
f210e8fbc873db57,fake_test,5,0,fake,1bd2c23b00301cec415e754535904139695b655c430c6ad9e7c11a0f356223b3,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00005__face_00.jpg,1,0.8476958870887756,0.4685651659965515,1,fake,True
1686671c3a0f63a0,fake_test,6,0,fake,e9c5113fc7dc53041a5556b04478f33cb0b2242bd659efccb3727d6e0c5322aa,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00006__face_00.jpg,1,0.3024763762950897,0.4685651659965515,0,real,False
16ae14d5240f5e6a,fake_test,7,0,fake,6a2756a9313d5f74d5b225b619a3465a7c561d6a68153c4c5c315c412af2b45f,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00007__face_00.jpg,1,0.5499622225761414,0.4685651659965515,1,fake,True
28f0b982e68bb682,fake_test,8,0,fake,2182df72f9ddfc85054944dfa9b7128f1525a631b24045a94bad9dfc54112f16,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00008__face_00.jpg,1,0.6596280932426453,0.4685651659965515,1,fake,True
31c7e6eac49191fc,fake_test,9,0,fake,b44017364f8b5c1b0cbdc4c80698964bf5d616aad68f31132de40a6bb9367987,/content/drive/MyDrive/AISC DeepFake Çalışmaları/Deneyler/Kader/Deney 1/Göz/eye_roi_output/fake/test/combined/fake_test/fake_test_00009__face_00.jpg,1,0.4491623342037201,0.4685651659965515,0,real,False
